year,mem,esm,scenario,mask,mean_annual_bio
2092,macroecological,gfdl,ssp585,8314,1.507821317432689
2092,macroecological,gfdl,ssp585,8315,1.2202372290194035
2092,macroecological,gfdl,ssp585,8316,1.392816014047982
2092,macroecological,gfdl,ssp585,8317,2.3621604481051044
2092,macroecological,gfdl,ssp585,8318,1.6065127256719824
2092,macroecological,gfdl,ssp585,8324,1.6312240931917639
2092,macroecological,gfdl,ssp585,8325,1.4854290553780853
2092,macroecological,gfdl,ssp585,8326,1.690959105620513
2092,macroecological,gfdl,ssp585,8439,1.6935258429983389
2092,macroecological,gfdl,ssp585,8440,1.801165527941888
2092,macroecological,gfdl,ssp585,8441,4.57910870863292
2092,macroecological,gfdl,ssp585,8444,1.2969470900647782
2092,macroecological,gfdl,ssp585,8445,1.267550766468048
2092,macroecological,gfdl,ssp585,8446,1.4835666860303571
2092,macroecological,gfdl,ssp585,8447,1.358023737416123
2092,macroecological,gfdl,ssp585,8448,1.4890423462941096
2092,macroecological,gfdl,ssp585,8449,1.7334087159898546
2092,macroecological,gfdl,ssp585,8450,3.7210809262593587
2092,macroecological,gfdl,ssp585,8454,1.2885733786083402
2092,macroecological,gfdl,ssp585,8488,3.1217669650128013
2092,macroecological,gfdl,ssp585,9999,1.6430131337221932
2092,macroecological,gfdl,ssp585,48957,1.0757547855377196
2092,macroecological,gfdl,ssp585,48980,1.3081011906266213
2093,macroecological,gfdl,ssp585,8312,1.7319233856201173
2093,macroecological,gfdl,ssp585,8313,1.5163584709167481
2093,macroecological,gfdl,ssp585,8314,1.5632102351610353
2093,macroecological,gfdl,ssp585,8315,1.1295783184468746
2093,macroecological,gfdl,ssp585,8316,1.293339203665222
2093,macroecological,gfdl,ssp585,8317,1.9734834432601929
2093,macroecological,gfdl,ssp585,8318,1.4845086718625564
2093,macroecological,gfdl,ssp585,8324,1.52294357722046
2093,macroecological,gfdl,ssp585,8325,1.531060519765635
2093,macroecological,gfdl,ssp585,8326,1.6041766276230682
2093,macroecological,gfdl,ssp585,8439,1.8425739679647528
2093,macroecological,gfdl,ssp585,8440,1.7651052901096511
2093,macroecological,gfdl,ssp585,8441,4.512111923651781
2093,macroecological,gfdl,ssp585,8444,1.477112756055944
2093,macroecological,gfdl,ssp585,8445,1.5471542000770568
2093,macroecological,gfdl,ssp585,8446,1.4667817341384066
2093,macroecological,gfdl,ssp585,8447,1.3961650530497234
