year,mask,name,min_historical,min_ssp126,min_ssp245,min_ssp585,mean_historical,mean_ssp126,mean_ssp245,mean_ssp585,median_historical,median_ssp126,median_ssp245,median_ssp585,sd_historical,sd_ssp126,sd_ssp245,sd_ssp585,max_historical,max_ssp126,max_ssp245,max_ssp585
2099,8445,Samoa,NA,0.30462277829647066,0.29475676715373994,0.2848907560110092,NA,2.8445571973919868,2.4062427267432214,1.9679282560944558,NA,1.9121136426925658,1.623329582810402,1.3398445487022401,NA,2.3016604785508497,1.8797398623073314,1.6187457716539444,NA,6.606240701675415,5.231624507904053,4.930068826675415
2100,8445,Samoa,NA,0.2065433323383331,0.2388224050402641,0.2711014777421951,NA,2.61799929022789,2.182841258943081,1.7476832276582719,NA,1.8797987461090087,1.4837968081235884,1.1230068624019625,NA,2.06454444629675,1.7771851325384465,1.578508716775685,NA,5.961269235610962,5.148843240737914,4.880597639083862
1985,8446,Cook Islands,0.5200165003858587,NA,NA,NA,3.60952079103839,NA,NA,NA,2.539323565139566,NA,NA,NA,2.829230116955652,NA,NA,NA,8.373461017044642,NA,NA,NA
1986,8446,Cook Islands,0.5200892427275258,NA,NA,NA,3.6780026736438916,NA,NA,NA,2.5326719091784566,NA,NA,NA,2.9215909614778397,NA,NA,NA,8.727303908717248,NA,NA,NA
1987,8446,Cook Islands,0.5006657620911957,NA,NA,NA,3.7353252243130437,NA,NA,NA,2.7384617668326183,NA,NA,NA,3.1120890439589384,NA,NA,NA,9.778839803511095,NA,NA,NA
1988,8446,Cook Islands,0.388414261562209,NA,NA,NA,3.4980958197466148,NA,NA,NA,2.6105237225050564,NA,NA,NA,2.7620895124076235,NA,NA,NA,7.990980790507408,NA,NA,NA
1989,8446,Cook Islands,0.35708779096603394,NA,NA,NA,3.4699387915031883,NA,NA,NA,2.485778652211671,NA,NA,NA,2.7883763470817833,NA,NA,NA,7.98991927408403,NA,NA,NA
1990,8446,Cook Islands,0.4326471178441919,NA,NA,NA,3.6010690301656725,NA,NA,NA,2.6159608697378505,NA,NA,NA,2.9882773921608417,NA,NA,NA,9.123960520631524,NA,NA,NA
1991,8446,Cook Islands,0.45240586827839574,NA,NA,NA,3.412300198925759,NA,NA,NA,2.5126524727831603,NA,NA,NA,2.7345208578801135,NA,NA,NA,8.010446183143124,NA,NA,NA
1992,8446,Cook Islands,0.4516521692276001,NA,NA,NA,3.5909475623439717,NA,NA,NA,2.490803668255447,NA,NA,NA,2.9291479363111166,NA,NA,NA,8.815880149282435,NA,NA,NA
1993,8446,Cook Islands,0.45723897427000026,NA,NA,NA,3.6565957382321357,NA,NA,NA,2.519828355120074,NA,NA,NA,3.027591581775447,NA,NA,NA,9.344526412666484,NA,NA,NA
1994,8446,Cook Islands,0.4509227828633401,NA,NA,NA,3.6875064853859203,NA,NA,NA,2.623851339022319,NA,NA,NA,3.0285040924745794,NA,NA,NA,9.335669447016972,NA,NA,NA
1995,8446,Cook Islands,0.4266074352687405,NA,NA,NA,3.771693418086857,NA,NA,NA,2.6688834960742662,NA,NA,NA,3.2436851191588043,NA,NA,NA,10.318409177564806,NA,NA,NA
1996,8446,Cook Islands,0.3892145670389616,NA,NA,NA,3.625919467218781,NA,NA,NA,2.6435726272162574,NA,NA,NA,3.087048282307507,NA,NA,NA,9.72040589778654,NA,NA,NA
1997,8446,Cook Islands,0.31635928883027004,NA,NA,NA,3.5582777365641567,NA,NA,NA,2.65066740077029,NA,NA,NA,3.0039984074848536,NA,NA,NA,9.311419056307884,NA,NA,NA
1998,8446,Cook Islands,0.3932683030443807,NA,NA,NA,3.597727530986391,NA,NA,NA,2.6714370513475068,NA,NA,NA,3.0310689372619164,NA,NA,NA,9.454517055583256,NA,NA,NA
1999,8446,Cook Islands,0.4095633729330955,NA,NA,NA,3.448517730471588,NA,NA,NA,2.4770502621127712,NA,NA,NA,2.8204151119670344,NA,NA,NA,8.476948738098145,NA,NA,NA
2000,8446,Cook Islands,0.3705408770230509,NA,NA,NA,3.5175151740190804,NA,NA,NA,2.6010764475150774,NA,NA,NA,2.9695839221526237,NA,NA,NA,9.25728742666142,NA,NA,NA
2001,8446,Cook Islands,0.30560610819888373,NA,NA,NA,3.362946545372727,NA,NA,NA,2.527786909252085,NA,NA,NA,2.757747449527616,NA,NA,NA,8.265804535599164,NA,NA,NA
2002,8446,Cook Islands,0.3532308395351133,NA,NA,NA,3.3385054656174233,NA,NA,NA,2.48867380362685,NA,NA,NA,2.671549679158615,NA,NA,NA,7.794711241158106,NA,NA,NA
2003,8446,Cook Islands,0.3878714360537068,NA,NA,NA,3.1708812959412094,NA,NA,NA,2.3568972768963024,NA,NA,NA,2.5111574282693736,NA,NA,NA,7.092578362393123,NA,NA,NA
2004,8446,Cook Islands,0.4279704094734243,NA,NA,NA,3.18376797060332,NA,NA,NA,2.305531886316115,NA,NA,NA,2.5063774704501163,NA,NA,NA,7.067357442712271,NA,NA,NA
2005,8446,Cook Islands,0.4069151468174432,NA,NA,NA,3.2984259507508686,NA,NA,NA,2.330101539050379,NA,NA,NA,2.6959975858956504,NA,NA,NA,7.96749783331348,NA,NA,NA
2006,8446,Cook Islands,0.35590730238986273,NA,NA,NA,3.283253498375416,NA,NA,NA,2.366596247560235,NA,NA,NA,2.6336213286458037,NA,NA,NA,7.577683589150829,NA,NA,NA
2007,8446,Cook Islands,0.4374218969255365,NA,NA,NA,3.3871074167791235,NA,NA,NA,2.308070234714016,NA,NA,NA,2.78987153457386,NA,NA,NA,8.337130954188686,NA,NA,NA
2008,8446,Cook Islands,0.5162015949846596,NA,NA,NA,3.387852280755197,NA,NA,NA,2.4207711527424474,NA,NA,NA,2.7093609065559647,NA,NA,NA,7.977727902832852,NA,NA,NA
2009,8446,Cook Islands,0.39849427238266955,NA,NA,NA,3.422615019792831,NA,NA,NA,2.4489251285470943,NA,NA,NA,2.911879783099299,NA,NA,NA,9.046760089294883,NA,NA,NA
2010,8446,Cook Islands,0.32426858981770856,NA,NA,NA,3.351871506781668,NA,NA,NA,2.472243241084519,NA,NA,NA,2.7279444793913528,NA,NA,NA,8.003087771195236,NA,NA,NA
2011,8446,Cook Islands,0.44727577253054546,NA,NA,NA,3.458674568530693,NA,NA,NA,2.473354693702472,NA,NA,NA,2.7831427840187706,NA,NA,NA,8.208548561219246,NA,NA,NA
2012,8446,Cook Islands,0.4704915566309806,NA,NA,NA,3.3412341098711695,NA,NA,NA,2.3944354928949827,NA,NA,NA,2.677300837476202,NA,NA,NA,7.807989617829682,NA,NA,NA
2013,8446,Cook Islands,0.45938960903434345,NA,NA,NA,3.3291461187344726,NA,NA,NA,2.3394405399599383,NA,NA,NA,2.6502810365780713,NA,NA,NA,7.535888275792522,NA,NA,NA
2014,8446,Cook Islands,0.454777151586548,NA,NA,NA,3.4548175980887748,NA,NA,NA,2.391129211712909,NA,NA,NA,2.7900696873599755,NA,NA,NA,8.191089888413748,NA,NA,NA
2015,8446,Cook Islands,NA,0.4694317288456424,0.4680937909150636,0.4667558529844848,NA,3.4099489890519648,3.398777131007243,3.3876052729625217,NA,2.3146993790262487,2.3287147020780914,2.3427300251299332,NA,2.7615108295178032,2.745315558822223,2.729336212555675,NA,8.126372616778138,8.066240958949571,8.006109301121004
2016,8446,Cook Islands,NA,0.4690458560662885,0.44519988767882834,0.4213539192913681,NA,3.6426378668396064,3.6384222004843014,3.6342065341289964,NA,2.433448109895952,2.508037050565084,2.582625991234215,NA,3.0454936977820286,3.0526623716451824,3.064982436304305,NA,9.42704971631368,9.526161416884392,9.625273117455103
2017,8446,Cook Islands,NA,0.4318626717694344,0.3950331200274729,0.35820356828551136,NA,3.7512640839702978,3.665889343431079,3.5805146028918604,NA,2.6233614321037004,2.6128921305300086,2.6024228289563167,NA,3.213940746870586,3.095208510286341,2.9810565738750996,NA,10.23228463947132,9.680464045975798,9.128643452480276
2018,8446,Cook Islands,NA,0.3809837777447957,0.3803920513920246,0.37980032503925343,NA,3.5335679369427826,3.4725349884239898,3.411502039905197,NA,2.4940240146011434,2.4891193611647493,2.4842147077283547,NA,2.927825690926267,2.857379881857164,2.788241955905889,NA,8.955985754407862,8.677130472595973,8.398275190784085
2019,8446,Cook Islands,NA,0.4148577020693851,0.38775891778610083,0.3606601335028166,NA,3.3901897615803183,3.479534158791586,3.5688785560028524,NA,2.386024301090548,2.4853366757592847,2.5846490504280215,NA,2.7347625337973898,2.8921906405596367,3.065050814074332,NA,8.06725880856155,8.844564728518968,9.621870648476383
2020,8446,Cook Islands,NA,0.4117992758270233,0.3978427219535074,0.3838861680799915,NA,3.5004253651426045,3.3703646256037616,3.240303886064919,NA,2.511416647382962,2.4304644508707907,2.3495122543586198,NA,2.874355232981496,2.7402779745067503,2.611107654110461,NA,8.770133404321568,8.19375987527191,7.6173863462222515
2021,8446,Cook Islands,NA,0.37617741989833053,0.36560770709027524,0.35503799428222,NA,3.62314581826169,3.5432463558290594,3.463346893396429,NA,2.5745094114093368,2.5148053058693485,2.45510120032936,NA,3.134598483007191,3.0434248219010716,2.9541117403657204,NA,9.96111976459462,9.573207317500986,9.18529487040735
2022,8446,Cook Islands,NA,0.3896422459874102,0.39236453640204605,0.3950868268166819,NA,3.543036922652234,3.4508490164193417,3.3586611101864485,NA,2.4888119434797638,2.4423241176271953,2.3958362917746268,NA,3.0328738713783787,2.8410336596473553,2.674404211510533,NA,9.540119651825195,8.601223743090065,7.662327834354934
2023,8446,Cook Islands,NA,0.40593922522760206,0.44872853368200283,0.49151784213640354,NA,3.5024494790582246,3.4323955823897676,3.36234168572131,NA,2.4362050615331174,2.348046185508851,2.2598873094845846,NA,2.9379524771712995,2.7930030774212407,2.670898754236039,NA,9.054117090599512,8.315523304285541,7.576929517971572
2024,8446,Cook Islands,NA,0.37213981456013134,0.43875570354923127,0.5053715925383312,NA,3.6510422041659716,3.6254241037673207,3.59980600336867,NA,2.5486447686149227,2.517002862788016,2.4853609569611086,NA,3.222486370814225,3.0763046233607203,2.9432213437167376,NA,10.283555839651374,9.61983594074044,8.956116041829508
